text,sentiment
I hate this mouse. Very disappointing.,negative
Extremely dissatisfied with this microwave.,negative
The camera is neither good nor bad.,neutral
Awful headphone. Would not recommend.,negative
The camera is neither good nor bad.,neutral
The tablet broke after one use. Not worth it.,negative
This watch is fantastic and exceeded my expectations.,positive
This phone is terrible and a waste of money.,negative
The headphone broke after one use. Not worth it.,negative
I'm really happy with this headphone.,positive
It's an average watch. Just fine.,neutral
This mouse is fantastic and exceeded my expectations.,positive
"No complaints about the phone, it's decent.",neutral
The microwave broke after one use. Not worth it.,negative
The phone did its job as expected.,neutral
The laptop is neither good nor bad.,neutral
"No complaints about the tablet, it's decent.",neutral
I absolutely love this camera!,positive
The microwave broke after one use. Not worth it.,negative
This phone is fantastic and exceeded my expectations.,positive
"No complaints about the keyboard, it's decent.",neutral
This mouse is terrible and a waste of money.,negative
This mouse is terrible and a waste of money.,negative
I absolutely love this camera!,positive
"No complaints about the mouse, it's decent.",neutral
The phone broke after one use. Not worth it.,negative
The tablet worked perfectly and made my day!,positive
The keyboard worked perfectly and made my day!,positive
What an amazing phone. Highly recommend!,positive
The camera is neither good nor bad.,neutral
I'm really happy with this watch.,positive
"This mouse is okay, nothing special.",neutral
Extremely dissatisfied with this headphone.,negative
I hate this keyboard. Very disappointing.,negative
I hate this printer. Very disappointing.,negative
The watch did its job as expected.,neutral
The tablet is neither good nor bad.,neutral
The printer worked perfectly and made my day!,positive
I'm really happy with this mouse.,positive
The printer is neither good nor bad.,neutral
"This microwave is okay, nothing special.",neutral
Extremely dissatisfied with this tablet.,negative
The keyboard is neither good nor bad.,neutral
Awful tablet. Would not recommend.,negative
This tablet is fantastic and exceeded my expectations.,positive
This watch is terrible and a waste of money.,negative
I'm really happy with this keyboard.,positive
Awful mouse. Would not recommend.,negative
It's an average phone. Just fine.,neutral
The tablet worked perfectly and made my day!,positive
Extremely dissatisfied with this watch.,negative
Extremely dissatisfied with this phone.,negative
The watch worked perfectly and made my day!,positive
This microwave is fantastic and exceeded my expectations.,positive
The camera is neither good nor bad.,neutral
What an amazing watch. Highly recommend!,positive
Awful phone. Would not recommend.,negative
This headphone is fantastic and exceeded my expectations.,positive
The tablet is neither good nor bad.,neutral
"This microwave is okay, nothing special.",neutral
The watch broke after one use. Not worth it.,negative
The keyboard worked perfectly and made my day!,positive
I'm really happy with this mouse.,positive
"This printer is okay, nothing special.",neutral
I hate this microwave. Very disappointing.,negative
The keyboard is neither good nor bad.,neutral
I hate this printer. Very disappointing.,negative
The printer broke after one use. Not worth it.,negative
Awful keyboard. Would not recommend.,negative
This mouse is fantastic and exceeded my expectations.,positive
I hate this tablet. Very disappointing.,negative
I hate this keyboard. Very disappointing.,negative
I'm really happy with this phone.,positive
This camera is fantastic and exceeded my expectations.,positive
"No complaints about the keyboard, it's decent.",neutral
I absolutely love this tablet!,positive
This tablet is terrible and a waste of money.,negative
"No complaints about the microwave, it's decent.",neutral
"This tablet is okay, nothing special.",neutral
This microwave is fantastic and exceeded my expectations.,positive
What an amazing laptop. Highly recommend!,positive
This phone is terrible and a waste of money.,negative
This headphone is fantastic and exceeded my expectations.,positive
"This mouse is okay, nothing special.",neutral
"This tablet is okay, nothing special.",neutral
"This camera is okay, nothing special.",neutral
The watch worked perfectly and made my day!,positive
The laptop worked perfectly and made my day!,positive
Awful microwave. Would not recommend.,negative
Extremely dissatisfied with this laptop.,negative
This tablet is fantastic and exceeded my expectations.,positive
I hate this printer. Very disappointing.,negative
The printer is neither good nor bad.,neutral
I'm really happy with this keyboard.,positive
The microwave did its job as expected.,neutral
I absolutely love this tablet!,positive
This microwave is terrible and a waste of money.,negative
Awful printer. Would not recommend.,negative
This microwave is fantastic and exceeded my expectations.,positive
The watch worked perfectly and made my day!,positive
Awful microwave. Would not recommend.,negative
I absolutely love this watch!,positive
The microwave is neither good nor bad.,neutral
The printer broke after one use. Not worth it.,negative
It's an average printer. Just fine.,neutral
The printer did its job as expected.,neutral
Awful laptop. Would not recommend.,negative
The camera did its job as expected.,neutral
The tablet is neither good nor bad.,neutral
The phone is neither good nor bad.,neutral
I absolutely love this microwave!,positive
Awful tablet. Would not recommend.,negative
The phone did its job as expected.,neutral
The printer is neither good nor bad.,neutral
What an amazing phone. Highly recommend!,positive
The microwave did its job as expected.,neutral
I hate this camera. Very disappointing.,negative
This phone is terrible and a waste of money.,negative
This watch is terrible and a waste of money.,negative
It's an average camera. Just fine.,neutral
The tablet worked perfectly and made my day!,positive
The tablet worked perfectly and made my day!,positive
Awful microwave. Would not recommend.,negative
I hate this mouse. Very disappointing.,negative
I hate this watch. Very disappointing.,negative
"No complaints about the phone, it's decent.",neutral
The phone broke after one use. Not worth it.,negative
What an amazing mouse. Highly recommend!,positive
What an amazing microwave. Highly recommend!,positive
It's an average laptop. Just fine.,neutral
"No complaints about the watch, it's decent.",neutral
What an amazing keyboard. Highly recommend!,positive
What an amazing camera. Highly recommend!,positive
The mouse worked perfectly and made my day!,positive
I'm really happy with this laptop.,positive
Extremely dissatisfied with this phone.,negative
This laptop is fantastic and exceeded my expectations.,positive
"No complaints about the watch, it's decent.",neutral
Awful phone. Would not recommend.,negative
Extremely dissatisfied with this microwave.,negative
This microwave is terrible and a waste of money.,negative
This camera is fantastic and exceeded my expectations.,positive
What an amazing mouse. Highly recommend!,positive
Awful tablet. Would not recommend.,negative
This printer is fantastic and exceeded my expectations.,positive
This watch is terrible and a waste of money.,negative
The keyboard worked perfectly and made my day!,positive
The printer is neither good nor bad.,neutral
"This watch is okay, nothing special.",neutral
The mouse worked perfectly and made my day!,positive
The microwave worked perfectly and made my day!,positive
The keyboard broke after one use. Not worth it.,negative
This headphone is terrible and a waste of money.,negative
The mouse broke after one use. Not worth it.,negative
The camera worked perfectly and made my day!,positive
It's an average keyboard. Just fine.,neutral
"This keyboard is okay, nothing special.",neutral
Awful keyboard. Would not recommend.,negative
I hate this microwave. Very disappointing.,negative
The tablet is neither good nor bad.,neutral
This watch is terrible and a waste of money.,negative
The microwave broke after one use. Not worth it.,negative
I hate this camera. Very disappointing.,negative
Extremely dissatisfied with this keyboard.,negative
The printer did its job as expected.,neutral
I absolutely love this mouse!,positive
This mouse is fantastic and exceeded my expectations.,positive
"This laptop is okay, nothing special.",neutral
What an amazing microwave. Highly recommend!,positive
The printer worked perfectly and made my day!,positive
The watch is neither good nor bad.,neutral
This mouse is fantastic and exceeded my expectations.,positive
I hate this headphone. Very disappointing.,negative
It's an average microwave. Just fine.,neutral
I hate this laptop. Very disappointing.,negative
What an amazing phone. Highly recommend!,positive
This microwave is fantastic and exceeded my expectations.,positive
Awful tablet. Would not recommend.,negative
I absolutely love this mouse!,positive
I hate this laptop. Very disappointing.,negative
The laptop worked perfectly and made my day!,positive
The keyboard broke after one use. Not worth it.,negative
The laptop did its job as expected.,neutral
The headphone broke after one use. Not worth it.,negative
I absolutely love this headphone!,positive
Awful tablet. Would not recommend.,negative
Awful mouse. Would not recommend.,negative
I'm really happy with this headphone.,positive
The tablet broke after one use. Not worth it.,negative
The headphone broke after one use. Not worth it.,negative
This watch is fantastic and exceeded my expectations.,positive
I absolutely love this phone!,positive
The camera is neither good nor bad.,neutral
I'm really happy with this keyboard.,positive
The camera is neither good nor bad.,neutral
I hate this watch. Very disappointing.,negative
What an amazing tablet. Highly recommend!,positive
Awful laptop. Would not recommend.,negative
I absolutely love this microwave!,positive
The headphone is neither good nor bad.,neutral
"No complaints about the watch, it's decent.",neutral
I absolutely love this microwave!,positive
Awful microwave. Would not recommend.,negative
Extremely dissatisfied with this phone.,negative
I absolutely love this watch!,positive
The watch worked perfectly and made my day!,positive
Extremely dissatisfied with this phone.,negative
This tablet is terrible and a waste of money.,negative
This headphone is fantastic and exceeded my expectations.,positive
What an amazing mouse. Highly recommend!,positive
The mouse broke after one use. Not worth it.,negative
This microwave is terrible and a waste of money.,negative
The keyboard did its job as expected.,neutral
Awful laptop. Would not recommend.,negative
The keyboard worked perfectly and made my day!,positive
This printer is fantastic and exceeded my expectations.,positive
I absolutely love this printer!,positive
I'm really happy with this microwave.,positive
Extremely dissatisfied with this keyboard.,negative
The headphone broke after one use. Not worth it.,negative
This microwave is terrible and a waste of money.,negative
The mouse is neither good nor bad.,neutral
I absolutely love this microwave!,positive
I hate this mouse. Very disappointing.,negative
The phone broke after one use. Not worth it.,negative
I'm really happy with this keyboard.,positive
What an amazing microwave. Highly recommend!,positive
The printer worked perfectly and made my day!,positive
This mouse is fantastic and exceeded my expectations.,positive
This camera is terrible and a waste of money.,negative
The phone did its job as expected.,neutral
The mouse is neither good nor bad.,neutral
Extremely dissatisfied with this mouse.,negative
I hate this microwave. Very disappointing.,negative
This phone is fantastic and exceeded my expectations.,positive
Extremely dissatisfied with this camera.,negative
Awful tablet. Would not recommend.,negative
The headphone is neither good nor bad.,neutral
It's an average printer. Just fine.,neutral
The watch worked perfectly and made my day!,positive
"No complaints about the camera, it's decent.",neutral
Awful headphone. Would not recommend.,negative
The camera worked perfectly and made my day!,positive
This tablet is fantastic and exceeded my expectations.,positive
The mouse broke after one use. Not worth it.,negative
The camera worked perfectly and made my day!,positive
I absolutely love this tablet!,positive
I hate this keyboard. Very disappointing.,negative
What an amazing printer. Highly recommend!,positive
The phone worked perfectly and made my day!,positive
I'm really happy with this printer.,positive
"This laptop is okay, nothing special.",neutral
Awful phone. Would not recommend.,negative
I hate this laptop. Very disappointing.,negative
This phone is fantastic and exceeded my expectations.,positive
The watch worked perfectly and made my day!,positive
The headphone worked perfectly and made my day!,positive
I'm really happy with this camera.,positive
I absolutely love this laptop!,positive
I'm really happy with this microwave.,positive
"No complaints about the camera, it's decent.",neutral
The phone broke after one use. Not worth it.,negative
I absolutely love this tablet!,positive
"No complaints about the printer, it's decent.",neutral
This mouse is terrible and a waste of money.,negative
"No complaints about the microwave, it's decent.",neutral
I'm really happy with this headphone.,positive
Awful printer. Would not recommend.,negative
"This headphone is okay, nothing special.",neutral
I absolutely love this mouse!,positive
The printer broke after one use. Not worth it.,negative
I absolutely love this tablet!,positive
This mouse is terrible and a waste of money.,negative
This tablet is fantastic and exceeded my expectations.,positive
The tablet worked perfectly and made my day!,positive
I'm really happy with this microwave.,positive
It's an average laptop. Just fine.,neutral
The watch did its job as expected.,neutral
The camera worked perfectly and made my day!,positive
"No complaints about the tablet, it's decent.",neutral
I'm really happy with this headphone.,positive
I hate this headphone. Very disappointing.,negative
What an amazing microwave. Highly recommend!,positive
It's an average keyboard. Just fine.,neutral
Awful headphone. Would not recommend.,negative
This printer is terrible and a waste of money.,negative
I absolutely love this laptop!,positive
The microwave broke after one use. Not worth it.,negative
I absolutely love this printer!,positive
The tablet worked perfectly and made my day!,positive
Extremely dissatisfied with this keyboard.,negative
I absolutely love this tablet!,positive
The printer is neither good nor bad.,neutral
I'm really happy with this mouse.,positive
I absolutely love this mouse!,positive
The phone did its job as expected.,neutral
"This microwave is okay, nothing special.",neutral
This laptop is terrible and a waste of money.,negative
Awful tablet. Would not recommend.,negative
What an amazing printer. Highly recommend!,positive
Extremely dissatisfied with this mouse.,negative
This watch is fantastic and exceeded my expectations.,positive
"No complaints about the camera, it's decent.",neutral
The mouse is neither good nor bad.,neutral
I'm really happy with this keyboard.,positive
Extremely dissatisfied with this tablet.,negative
Awful watch. Would not recommend.,negative
"This camera is okay, nothing special.",neutral
"No complaints about the watch, it's decent.",neutral
The headphone is neither good nor bad.,neutral
It's an average phone. Just fine.,neutral
I absolutely love this camera!,positive
Extremely dissatisfied with this camera.,negative
The keyboard worked perfectly and made my day!,positive
The mouse is neither good nor bad.,neutral
It's an average laptop. Just fine.,neutral
The headphone did its job as expected.,neutral
Awful phone. Would not recommend.,negative
This tablet is terrible and a waste of money.,negative
I hate this laptop. Very disappointing.,negative
I absolutely love this watch!,positive
This camera is fantastic and exceeded my expectations.,positive
This camera is fantastic and exceeded my expectations.,positive
This mouse is terrible and a waste of money.,negative
What an amazing laptop. Highly recommend!,positive
I'm really happy with this printer.,positive
Extremely dissatisfied with this laptop.,negative
What an amazing watch. Highly recommend!,positive
The printer is neither good nor bad.,neutral
This printer is fantastic and exceeded my expectations.,positive
The camera broke after one use. Not worth it.,negative
This mouse is terrible and a waste of money.,negative
This printer is fantastic and exceeded my expectations.,positive
What an amazing tablet. Highly recommend!,positive
I'm really happy with this camera.,positive
The microwave did its job as expected.,neutral
This phone is terrible and a waste of money.,negative
Extremely dissatisfied with this mouse.,negative
I'm really happy with this keyboard.,positive
The laptop worked perfectly and made my day!,positive
I'm really happy with this printer.,positive
The keyboard did its job as expected.,neutral
What an amazing microwave. Highly recommend!,positive
It's an average tablet. Just fine.,neutral
What an amazing mouse. Highly recommend!,positive
This keyboard is fantastic and exceeded my expectations.,positive
I absolutely love this laptop!,positive
It's an average headphone. Just fine.,neutral
I absolutely love this laptop!,positive
This laptop is fantastic and exceeded my expectations.,positive
I absolutely love this keyboard!,positive
It's an average mouse. Just fine.,neutral
Awful mouse. Would not recommend.,negative
"This microwave is okay, nothing special.",neutral
The mouse broke after one use. Not worth it.,negative
The tablet worked perfectly and made my day!,positive
"No complaints about the mouse, it's decent.",neutral
Extremely dissatisfied with this watch.,negative
The mouse broke after one use. Not worth it.,negative
This tablet is fantastic and exceeded my expectations.,positive
What an amazing microwave. Highly recommend!,positive
The mouse worked perfectly and made my day!,positive
This phone is terrible and a waste of money.,negative
The phone did its job as expected.,neutral
I absolutely love this printer!,positive
This mouse is fantastic and exceeded my expectations.,positive
It's an average mouse. Just fine.,neutral
"This laptop is okay, nothing special.",neutral
What an amazing watch. Highly recommend!,positive
What an amazing microwave. Highly recommend!,positive
This microwave is fantastic and exceeded my expectations.,positive
I hate this phone. Very disappointing.,negative
What an amazing camera. Highly recommend!,positive
I'm really happy with this watch.,positive
The keyboard broke after one use. Not worth it.,negative
What an amazing watch. Highly recommend!,positive
I'm really happy with this printer.,positive
"This mouse is okay, nothing special.",neutral
This watch is terrible and a waste of money.,negative
What an amazing microwave. Highly recommend!,positive
I absolutely love this watch!,positive
Awful printer. Would not recommend.,negative
I hate this camera. Very disappointing.,negative
This printer is fantastic and exceeded my expectations.,positive
I'm really happy with this microwave.,positive
This microwave is fantastic and exceeded my expectations.,positive
This watch is terrible and a waste of money.,negative
I hate this watch. Very disappointing.,negative
What an amazing headphone. Highly recommend!,positive
Awful microwave. Would not recommend.,negative
This mouse is terrible and a waste of money.,negative
I hate this mouse. Very disappointing.,negative
The mouse worked perfectly and made my day!,positive
It's an average keyboard. Just fine.,neutral
I hate this watch. Very disappointing.,negative
What an amazing keyboard. Highly recommend!,positive
I hate this camera. Very disappointing.,negative
"This laptop is okay, nothing special.",neutral
This keyboard is fantastic and exceeded my expectations.,positive
The printer is neither good nor bad.,neutral
This laptop is fantastic and exceeded my expectations.,positive
I absolutely love this laptop!,positive
The watch did its job as expected.,neutral
It's an average headphone. Just fine.,neutral
"This mouse is okay, nothing special.",neutral
The microwave worked perfectly and made my day!,positive
This phone is terrible and a waste of money.,negative
Awful laptop. Would not recommend.,negative
This microwave is fantastic and exceeded my expectations.,positive
I'm really happy with this tablet.,positive
The watch worked perfectly and made my day!,positive
This microwave is terrible and a waste of money.,negative
"This laptop is okay, nothing special.",neutral
I hate this watch. Very disappointing.,negative
I'm really happy with this mouse.,positive
The camera is neither good nor bad.,neutral
Extremely dissatisfied with this mouse.,negative
This laptop is fantastic and exceeded my expectations.,positive
This microwave is fantastic and exceeded my expectations.,positive
I'm really happy with this phone.,positive
I absolutely love this printer!,positive
The watch did its job as expected.,neutral
"This printer is okay, nothing special.",neutral
The printer did its job as expected.,neutral
This tablet is fantastic and exceeded my expectations.,positive
I absolutely love this tablet!,positive
"No complaints about the microwave, it's decent.",neutral
"This watch is okay, nothing special.",neutral
I'm really happy with this watch.,positive
"This phone is okay, nothing special.",neutral
The camera worked perfectly and made my day!,positive
"No complaints about the tablet, it's decent.",neutral
The phone broke after one use. Not worth it.,negative
I'm really happy with this laptop.,positive
I hate this watch. Very disappointing.,negative
This camera is fantastic and exceeded my expectations.,positive
What an amazing keyboard. Highly recommend!,positive
The watch did its job as expected.,neutral
Extremely dissatisfied with this printer.,negative
I absolutely love this mouse!,positive
The microwave did its job as expected.,neutral
I absolutely love this camera!,positive
"This watch is okay, nothing special.",neutral
"This mouse is okay, nothing special.",neutral
The mouse worked perfectly and made my day!,positive
I hate this microwave. Very disappointing.,negative
The tablet broke after one use. Not worth it.,negative
I'm really happy with this phone.,positive
The watch worked perfectly and made my day!,positive
"No complaints about the laptop, it's decent.",neutral
I'm really happy with this headphone.,positive
I hate this printer. Very disappointing.,negative
The printer broke after one use. Not worth it.,negative
The watch did its job as expected.,neutral
What an amazing printer. Highly recommend!,positive
The watch did its job as expected.,neutral
This printer is terrible and a waste of money.,negative
I'm really happy with this keyboard.,positive
Awful mouse. Would not recommend.,negative
I hate this laptop. Very disappointing.,negative
I hate this microwave. Very disappointing.,negative
I'm really happy with this mouse.,positive
I absolutely love this tablet!,positive
I hate this keyboard. Very disappointing.,negative
What an amazing keyboard. Highly recommend!,positive
The headphone broke after one use. Not worth it.,negative
Extremely dissatisfied with this tablet.,negative
I'm really happy with this phone.,positive
Extremely dissatisfied with this laptop.,negative
The printer worked perfectly and made my day!,positive
"This phone is okay, nothing special.",neutral
Extremely dissatisfied with this tablet.,negative
"No complaints about the camera, it's decent.",neutral
What an amazing microwave. Highly recommend!,positive
The tablet worked perfectly and made my day!,positive
Awful headphone. Would not recommend.,negative
Awful mouse. Would not recommend.,negative
The printer is neither good nor bad.,neutral
The headphone did its job as expected.,neutral
This microwave is fantastic and exceeded my expectations.,positive
"No complaints about the mouse, it's decent.",neutral
The tablet worked perfectly and made my day!,positive
This mouse is terrible and a waste of money.,negative
Extremely dissatisfied with this tablet.,negative
The headphone broke after one use. Not worth it.,negative
Extremely dissatisfied with this camera.,negative
This laptop is fantastic and exceeded my expectations.,positive
The watch broke after one use. Not worth it.,negative
This printer is terrible and a waste of money.,negative
I hate this watch. Very disappointing.,negative
"This printer is okay, nothing special.",neutral
Extremely dissatisfied with this phone.,negative
The phone is neither good nor bad.,neutral
I absolutely love this laptop!,positive
The tablet is neither good nor bad.,neutral
I'm really happy with this camera.,positive
This keyboard is terrible and a waste of money.,negative
It's an average watch. Just fine.,neutral
The keyboard broke after one use. Not worth it.,negative
I'm really happy with this laptop.,positive
I hate this laptop. Very disappointing.,negative
Awful keyboard. Would not recommend.,negative
This laptop is fantastic and exceeded my expectations.,positive
Awful tablet. Would not recommend.,negative
I hate this tablet. Very disappointing.,negative
Extremely dissatisfied with this printer.,negative
I'm really happy with this camera.,positive
The printer did its job as expected.,neutral
This printer is fantastic and exceeded my expectations.,positive
I absolutely love this phone!,positive
The watch worked perfectly and made my day!,positive
I hate this printer. Very disappointing.,negative
This microwave is terrible and a waste of money.,negative
I'm really happy with this watch.,positive
What an amazing headphone. Highly recommend!,positive
The tablet broke after one use. Not worth it.,negative
"No complaints about the printer, it's decent.",neutral
"No complaints about the mouse, it's decent.",neutral
The laptop worked perfectly and made my day!,positive
This camera is fantastic and exceeded my expectations.,positive
Extremely dissatisfied with this microwave.,negative
Awful watch. Would not recommend.,negative
The phone worked perfectly and made my day!,positive
I'm really happy with this laptop.,positive
I'm really happy with this mouse.,positive
It's an average camera. Just fine.,neutral
This laptop is terrible and a waste of money.,negative
The keyboard is neither good nor bad.,neutral
This microwave is terrible and a waste of money.,negative
I'm really happy with this laptop.,positive
It's an average watch. Just fine.,neutral
The phone did its job as expected.,neutral
This tablet is terrible and a waste of money.,negative
Awful laptop. Would not recommend.,negative
Extremely dissatisfied with this keyboard.,negative
What an amazing phone. Highly recommend!,positive
This camera is terrible and a waste of money.,negative
This printer is fantastic and exceeded my expectations.,positive
Awful keyboard. Would not recommend.,negative
I absolutely love this headphone!,positive
The microwave is neither good nor bad.,neutral
The microwave worked perfectly and made my day!,positive
The laptop is neither good nor bad.,neutral
"This printer is okay, nothing special.",neutral
Extremely dissatisfied with this phone.,negative
"No complaints about the keyboard, it's decent.",neutral
The printer worked perfectly and made my day!,positive
I'm really happy with this laptop.,positive
I hate this keyboard. Very disappointing.,negative
The headphone did its job as expected.,neutral
It's an average mouse. Just fine.,neutral
I absolutely love this mouse!,positive
The microwave is neither good nor bad.,neutral
Awful printer. Would not recommend.,negative
Extremely dissatisfied with this tablet.,negative
I hate this watch. Very disappointing.,negative
"This tablet is okay, nothing special.",neutral
Extremely dissatisfied with this laptop.,negative
Awful watch. Would not recommend.,negative
The microwave broke after one use. Not worth it.,negative
This phone is fantastic and exceeded my expectations.,positive
I absolutely love this printer!,positive
The printer did its job as expected.,neutral
"This tablet is okay, nothing special.",neutral
This keyboard is terrible and a waste of money.,negative
I absolutely love this laptop!,positive
I hate this tablet. Very disappointing.,negative
The phone worked perfectly and made my day!,positive
"This keyboard is okay, nothing special.",neutral
I'm really happy with this camera.,positive
The watch worked perfectly and made my day!,positive
I absolutely love this mouse!,positive
The mouse did its job as expected.,neutral
What an amazing microwave. Highly recommend!,positive
It's an average headphone. Just fine.,neutral
I hate this printer. Very disappointing.,negative
This camera is terrible and a waste of money.,negative
Extremely dissatisfied with this keyboard.,negative
"This watch is okay, nothing special.",neutral
"No complaints about the headphone, it's decent.",neutral
The keyboard did its job as expected.,neutral
The laptop did its job as expected.,neutral
The printer is neither good nor bad.,neutral
"No complaints about the mouse, it's decent.",neutral
The mouse worked perfectly and made my day!,positive
This printer is terrible and a waste of money.,negative
Awful microwave. Would not recommend.,negative
The watch is neither good nor bad.,neutral
Extremely dissatisfied with this camera.,negative
I hate this laptop. Very disappointing.,negative
The phone broke after one use. Not worth it.,negative
"This camera is okay, nothing special.",neutral
The watch is neither good nor bad.,neutral
Awful watch. Would not recommend.,negative
What an amazing keyboard. Highly recommend!,positive
It's an average laptop. Just fine.,neutral
"No complaints about the printer, it's decent.",neutral
What an amazing mouse. Highly recommend!,positive
This camera is terrible and a waste of money.,negative
I'm really happy with this microwave.,positive
I'm really happy with this laptop.,positive
The watch broke after one use. Not worth it.,negative
"No complaints about the camera, it's decent.",neutral
This camera is fantastic and exceeded my expectations.,positive
The keyboard did its job as expected.,neutral
Awful keyboard. Would not recommend.,negative
I hate this keyboard. Very disappointing.,negative
The tablet worked perfectly and made my day!,positive
This mouse is fantastic and exceeded my expectations.,positive
I'm really happy with this watch.,positive
The camera did its job as expected.,neutral
The headphone is neither good nor bad.,neutral
The watch worked perfectly and made my day!,positive
I absolutely love this laptop!,positive
What an amazing headphone. Highly recommend!,positive
What an amazing mouse. Highly recommend!,positive
Extremely dissatisfied with this laptop.,negative
"This mouse is okay, nothing special.",neutral
The microwave is neither good nor bad.,neutral
The phone did its job as expected.,neutral
"This camera is okay, nothing special.",neutral
I'm really happy with this phone.,positive
"This laptop is okay, nothing special.",neutral
I absolutely love this phone!,positive
I absolutely love this watch!,positive
I'm really happy with this microwave.,positive
It's an average camera. Just fine.,neutral
It's an average headphone. Just fine.,neutral
It's an average microwave. Just fine.,neutral
"No complaints about the tablet, it's decent.",neutral
I'm really happy with this mouse.,positive
What an amazing mouse. Highly recommend!,positive
I'm really happy with this keyboard.,positive
"No complaints about the camera, it's decent.",neutral
The microwave broke after one use. Not worth it.,negative
The camera is neither good nor bad.,neutral
What an amazing camera. Highly recommend!,positive
The mouse worked perfectly and made my day!,positive
I absolutely love this phone!,positive
"This mouse is okay, nothing special.",neutral
Awful headphone. Would not recommend.,negative
"No complaints about the microwave, it's decent.",neutral
I hate this printer. Very disappointing.,negative
"This phone is okay, nothing special.",neutral
I absolutely love this headphone!,positive
The keyboard is neither good nor bad.,neutral
Extremely dissatisfied with this camera.,negative
"This printer is okay, nothing special.",neutral
I'm really happy with this printer.,positive
I hate this phone. Very disappointing.,negative
The phone is neither good nor bad.,neutral
I hate this printer. Very disappointing.,negative
Awful mouse. Would not recommend.,negative
I absolutely love this headphone!,positive
What an amazing headphone. Highly recommend!,positive
This watch is terrible and a waste of money.,negative
The mouse did its job as expected.,neutral
Awful microwave. Would not recommend.,negative
Awful printer. Would not recommend.,negative
I absolutely love this keyboard!,positive
This tablet is terrible and a waste of money.,negative
I'm really happy with this printer.,positive
Extremely dissatisfied with this microwave.,negative
The printer worked perfectly and made my day!,positive
The phone is neither good nor bad.,neutral
The headphone did its job as expected.,neutral
This phone is terrible and a waste of money.,negative
The laptop worked perfectly and made my day!,positive
I absolutely love this camera!,positive
The tablet worked perfectly and made my day!,positive
This phone is fantastic and exceeded my expectations.,positive
"No complaints about the tablet, it's decent.",neutral
What an amazing microwave. Highly recommend!,positive
This mouse is terrible and a waste of money.,negative
The printer did its job as expected.,neutral
This tablet is fantastic and exceeded my expectations.,positive
"No complaints about the microwave, it's decent.",neutral
Awful microwave. Would not recommend.,negative
The camera broke after one use. Not worth it.,negative
Awful mouse. Would not recommend.,negative
The microwave did its job as expected.,neutral
What an amazing mouse. Highly recommend!,positive
The phone broke after one use. Not worth it.,negative
What an amazing mouse. Highly recommend!,positive
Awful mouse. Would not recommend.,negative
This camera is terrible and a waste of money.,negative
The laptop broke after one use. Not worth it.,negative
I absolutely love this microwave!,positive
This camera is terrible and a waste of money.,negative
Extremely dissatisfied with this laptop.,negative
This laptop is fantastic and exceeded my expectations.,positive
I hate this tablet. Very disappointing.,negative
"No complaints about the headphone, it's decent.",neutral
This tablet is fantastic and exceeded my expectations.,positive
I absolutely love this keyboard!,positive
"No complaints about the tablet, it's decent.",neutral
Awful phone. Would not recommend.,negative
